General,English Translation,পদ (Google API),Updated Human,পদ (Human),Barishal_bangla_speech,Sylhet_bangla_speech,Chittagong_bangla_speech,Mymensingh_bangla_speech,Noakhali_bangla_speech
অনুমতির,of permission,অব্যয়,বিশেষ্য,বিশেষ্য,অনুমতির,অনুমতির,অনুমতির,অনুমতির,অনুমতির
অনুমোদন,approval,বিশেষ্য,বিশেষ্য,বিশেষ্য,অনুমোদন  ,অনুমোদন,অনুমোদন,অনুমোদন,অনুমোদন
অনুযায়ী,According to,বিশেষণ,বিশেষণ,বিশেষণ,মত,অনুযায়ী,মত,অনুযায়ী,অনুযায়ী
অনেক,a lot,সর্বনাম,বিশেষণ,বিশেষণ,ম্যালা ,বউত,বেশি,মেলা,মেলা
অনেক বেশি,much more,বিশেষণ,বিশেষণ,বিশেষণ,একছের,বাক্কা,বউত বেশি,মেলা,মেলা বেশি
অনেককে,to many,বিশেষ্য,সর্বনাম,সর্বনাম,অনেকরে  ,বাক্কাজনরে,অনেকরে,অনেককে,অনেককে
অনেকটাই,a lot,সর্বনাম,বিশেষণ,বিশেষণ,অনেক,বাক্কা,অনেক্ষান,অনেকটাই,অনেকটাই
অনেকদিন,a long time,সর্বনাম,বিশেষ্য,বিশেষ্য,অনেকদিন,বাক্কাদিন,বউদ্দিন,মেলাদিন,মেলা দিন
অনেকবার,Many times,বিশেষণ,অব্যয়,অব্যয়,বেমালাবার,বাক্কাবার,বহুতবার,অনেকবার,অনেকবার
অনেকেই,many,বিশেষণ,অব্যয়,অব্যয়,অনেক,অনেকই,অনেকেই,অনেকেই,মেলা
অনেকের,of many,অব্যয়,অব্যয়,অব্যয়,অনেকের,বউতওর,বেগ্গুনুরতুন,অনেকের,অনেকের
অনেকেরই,of many,অব্যয়,অব্যয়,অব্যয়,অনেকরই  ,অনেকই,অনেকেরই,অনেকেরই,অনেকেরই
অন্তত,at least,অব্যয়,অব্যয়,অব্যয়,অন্তত  ,নাওয়,এক্কান,অন্তত,অন্তত
অন্ধ,blind,বিশেষ্য,বিশেষণ,বিশেষণ,অন্ধ  ,খানা,অন্ধ,কানা ,অন্ধ
অন্ধকার,Dark,বিশেষ্য,বিশেষ্য,বিশেষ্য,আন্ধার,আইন্দার,আন্ধা,আন্ধার,আন্ধকার
অন্য,other,বিশেষণ,বিশেষণ,বিশেষণ,আর ,আরকটা,অইন্নো,আরেক,অন্য 
অন্য জায়গায়,in another place,অব্যয়,অব্যয়,অব্যয়,অন্যহানে,আরক জাগাত,অন্য জাগাত,আরেক জায়গায়,অন্য জায়গায়
অন্যকে,to others,বিশেষ্য,সর্বনাম,সর্বনাম,অন্যরে,অন্যকে,অন্যরে,অন্যরে,আরিকগা
অন্যদিকে,On the other hand,অব্যয়,অব্যয়,অব্যয়,অন্যদিক,আরেকবায়,এডে,আরেকদিকে,অন্যদিকে
অন্যদের,others,বিশেষ্য,সর্বনাম,সর্বনাম,অন্যগো,অইন্যের,আন্যদের,আরেকজনের,অন্যগো
অন্যভাবে,in another way,অব্যয়,অব্যয়,অব্যয়,অন্যভাবে,অইন্যভাবে,আন্যভাবে,অন্যভাবে,অন্যভাবে
অন্যান্য,other,বিশেষণ,বিশেষণ,বিশেষণ,অন্য,অন্যান্য,অন্যান্য,অন্যান্য,অন্যান্য
অন্যায়,injustice,বিশেষ্য,বিশেষ্য,বিশেষ্য,অন্যায়,অন্যায়,অন্যায়,অন্যায়,অন্যায়
অন্যের,of others,অব্যয়,সর্বনাম,সর্বনাম,আর একজনের,অন্যের,অন্যর,অন্যের,অন্যের
অপমান,an insult,সর্বনাম,বিশেষ্য,বিশেষ্য,অফোমান,অপমান,অফমান,অপমান,অপমান
অপমান করে,by insulting,অব্যয়,ক্রিয়া,ক্রিয়া,অপমান ,বেইজ্জত করে,বেইজ্জত গইরজি,আফমান ,অপমান করে
অপর,the other,সর্বনাম,সর্বনাম,সর্বনাম,আরেক,আরেক,আরেক,অপর,অফর
অপরকে,the other,সর্বনাম,সর্বনাম,সর্বনাম,আরেকজনের,আরোখজনর,অফোরর,আরেকজনের,অপরকে
অপরের,other's,বিশেষণ,সর্বনাম,সর্বনাম,আর একজনের,আরোখ জনর,আরেকজন অর,অপরের,অফরের
অপর্যাপ্ত,inadequate,বিশেষ্য,বিশেষণ,বিশেষণ,কম,কম  ,পুরা ন,কম  ,অপর্যাপ্ত
অপাঙ্‌ক্তেয়,undesirable,বিশেষণ,বিশেষণ,বিশেষণ,সমাজে জায়গা নাই  ,অপাঙ্‌ক্তেয়,ওবুক,অপয়া ,অপাঙ্
অপেক্ষা,wait,বিশেষ্য,বিশেষ্য,বিশেষ্য,অপেক্ষা,বার,আফেক্কা,অপেক্ষা,অফেক্ষা
অপেক্ষায়,waiting,ক্রিয়া,ক্রিয়া,ক্রিয়া,অপেক্ষায়,অপেক্ষাত,অফেক্কার,অপেক্ষায়,অপেক্ষাত
অপ্রিয়,unlovable,বিশেষণ,বিশেষণ,বিশেষণ,ভালা না লাগা  ,ফছন নায়,অপ্রিয়,অপছন্দের ,অপ্রিয়
অফিস,Office,বিশেষ্য,বিশেষ্য,বিশেষ্য,অপিস,অফিসে,অফিস,অফিস,অফিসের
অফিসে,in the office,অব্যয়,অব্যয়,অব্যয়,অপিসে ,অফিসো,অফিসত,অপিসে,অফিসে 
অফিসের,of office,অব্যয়,অব্যয়,অব্যয়,অপিসের,অফিসর,আফিসর,অফিসের,অফিসের
অবকাঠামো,Infrastructure,বিশেষ্য,বিশেষ্য,বিশেষ্য,ভাঙাচোরা গঠন  ,বাড়িঘর,অবকাঠামো,গঠন ,অবকাঠামো
অবদানই,contribution,বিশেষ্য,বিশেষ্য,বিশেষ্য,অবদানই,অবদানওউ,আবদানই,অবদানই,অবদান
অবলা,Abla,বিশেষ্য,বিশেষণ,বিশেষণ,অবলা,বেচারা,অবলা,বেচারা ,অবলা
অবশ্য,Of course,অব্যয়,অব্যয়,অব্যয়,নিশ্চয়  ,অবশ্য,অবইশ্যো,অবশ্য,অবইশ্য 
অবশ্যই,of course,অব্যয়,অব্যয়,অব্যয়,ঠিকই,ঠিকউ,অবশ্যই,অবশ্যই,অবশ্যই
অবস্থা,condition,বিশেষ্য,বিশেষ্য,বিশেষ্য,অবস্থা,অবস্থা,অবস্তা,অবস্থা,অবস্থা
অবস্থায়,in condition,অব্যয়,বিশেষ্য,বিশেষ্য,অবস্থায়,অবস্থাত,অবস্তাত,অবস্থায়,অবস্থাত
অবহেলাকে,Negligence,বিশেষ্য,বিশেষ্য,বিশেষ্য,কেয়ার না কইরা ফালান ,অপেলাকে,দাম ন দন,দেহে না,বেইল নো দেওয়া 
অবাক,surprised,বিশেষণ,বিশেষণ,বিশেষণ,অবাক,অবাক,অবাক,অবাক,অবাক
অবিবাহিত,unmarried,বিশেষণ,বিশেষণ,বিশেষণ,আবিয়াইত্যা,আবিয়াতি,আ-বিয়াইত্তে,অবিবাহিত,অবিবাহিত
অবিবাহিতা,celibacy,বিশেষ্য,বিশেষণ,বিশেষণ,আবিয়াইত্যা,অবিবাহিতা,অবেহিত্তা,অবিবাহিতা,অবিবাহিতা
অভিনয়,acting,ক্রিয়া,বিশেষ্য,বিশেষ্য,নাটক,অভিনয়,অবিনয়,অভিনয়,অবিনয়
অভিভাবকের,of the guardian,অব্যয়,সর্বনাম,সর্বনাম,অভিভাবক,মাইনশর,অভিবাকর,অভিভাবকের,অভিভাবক
অভিমানে,in pride,অব্যয়,বিশেষণ,বিশেষণ,রাগে,আইট,অভিমানত,অভিমানে,অভিমানে
অভিযোগ,complaint,বিশেষ্য,বিশেষ্য,বিশেষ্য,বিচার,অভিযোগ,অবিযোগ,অভিযোগ,অভিযোগ
অভ্যস্ত,Accustomed,বিশেষণ,বিশেষণ,বিশেষণ,অভ্যাস অইছে  ,অভ্যস্ত,অভ্যাস,পারে ,অভ্যস্ত
অভ্যাস,habit,বিশেষ্য,বিশেষ্য,বিশেষ্য,অভ্যাস,খাইসলত,অভ্যাস,অভেশ,অভ্যাস 
অযোগ্য,ineligible,বিশেষণ,বিশেষণ,বিশেষণ,অযোগ্য,আকাইম্মা,অযোগ্য,অযোগ্য,অযোইগ্যা
অর্জনে,to achieve,বিশেষ্য,বিশেষ্য,বিশেষ্য,অর্জন করতেছে  ,অর্জনে,পাওয়ায়,পাওয়া ,অর্জনে
অর্থ,money,বিশেষ্য,বিশেষ্য,বিশেষ্য,মানে,অর্থ,অর্ত,অর্থ,অর্থই
অর্থ-বিত্তহীন,penniless,বিশেষ্য,বিশেষণ,বিশেষণ,টাহাপয়সা নাই  ,গরীব,টিয়া-পয়সা ছাড়া,টাহা পয়সা,হইরা কাঙাল
অর্থকড়ি,cash,বিশেষ্য,বিশেষ্য,বিশেষ্য,টাহা-কড়ি  ,টেকাপয়সা,অর্থকড়ি,টেহা পয়সা,অর্থকড়ি
অর্থনৈতিক,economic,বিশেষণ,বিশেষণ,বিশেষণ,অর্থনৈতিক,অর্থনৈতিক,অর্থনৈতিক,অর্থনৈতিক,অর্থনৈতিক
অর্থবছরের,of the fiscal year,অব্যয়,বিশেষণ,বিশেষণ,অর্থবছরর  ,অর্থবছরের,অর্থবছরের,অর্থবছরের,অর্থবছরের
অর্থমন্ত্রী,Finance Minister,বিশেষ্য,বিশেষ্য,বিশেষ্য,অর্থমন্ত্রি  ,অর্থমন্ত্রী,অর্থমন্ত্রী,অর্থমন্ত্রী,অর্থমন্ত্রী
অর্থের,of money,অব্যয়,সর্বনাম,সর্বনাম,টাহার,টেকার, টিয়ার,টেহা,টিয়ার
অর্ধেকই,Half of it,বিশেষ্য,বিশেষ্য,বিশেষ্য,আধখানই,আধাউ,অদ্দকই,অর্ধেকই,অদ্দেক এ
অলস,lazy,বিশেষ্য,বিশেষণ,বিশেষণ,আইলশা,অলস,অলস,অলস,অলস
অল্প,little,বিশেষণ,বিশেষণ,বিশেষণ,এট্টুহানে,কম,অল্ফ,অল্প,অল্ফ
অল্পবয়সী,Young,বিশেষ্য,বিশেষণ,বিশেষণ,জুয়ান,খেছমা,গুরোফোয়া/মাইয়ে,কম বয়স,‍কমবয়সী
অশান্তি,the turmoil,সর্বনাম,বিশেষ্য,বিশেষ্য,অশান্তি,অশান্তি,অশান্তি,অশান্তি,অশান্তি
অশিক্ষিত,uneducated,বিশেষণ,বিশেষণ,বিশেষণ,অশিক্ষিত,বখলম,অশিক্ষিত,অশিক্ষিত,অশিক্ষিত
অসম্ভব,impossible,বিশেষণ,বিশেষণ,বিশেষণ,বেমালা ,জিন্দেগিতেও হইতো নায়,অসম্ভব,অসম্ভব,অসম্ভব 
অসহায়,Helpless,বিশেষ্য,বিশেষণ,বিশেষণ,অসহায়,অসহায়,অসহায়,অসহায়,অসহায়
অসাধারণ,wonderful,বিশেষ্য,বিশেষণ,বিশেষণ,অসাধারণ,অসাধারণ,অসাদারন,অসাধারণ,অসাধারণ
অসাড়,numb,বিশেষ্য,বিশেষণ,বিশেষণ,নড়েনা চড়েনা  ,আখরি যাওয়া,অসাড়,অসাড়,অসাড়
অসুখ,illness,বিশেষ্য,বিশেষ্য,বিশেষ্য,অসুখ,অসুখ,অসুস্থ,অসুখ,অসুখ
অসুখ-বিসুখ,Illness,বিশেষ্য,বিশেষ্য,বিশেষ্য,রোগ-বেমারি,বেমার-আজার,অসুখ-বিসুখ,ব্যারাম ,অসুক-বিশুক
অসুখী,unhappy,বিশেষণ,বিশেষণ,বিশেষণ,অসুখী,অসুখী,অসুকি,অসুখী,অসুখী
অসুখে,ill,বিশেষ্য,অব্যয়,অব্যয়,অসুখে,অসুখে,অসুখত,অসুখে,অসুখে
অসুন্দর,ugly,বিশেষণ,বিশেষণ,বিশেষণ,অসুন্দর,বাদ,সুন্দরনো,অসুন্দর,অসুন্দর
অসুস্থ,sick,বিশেষ্য,বিশেষণ,বিশেষণ,অসুস্থ,অসুখ,অসুস্থ,অসুস্থ,অসুস্থ
অসুস্থতার,of illness,অব্যয়,বিশেষ্য,বিশেষ্য,অসুস্থতার,বেমারর,অসুস্ততার,অসুস্থতার,অসুস্থতার
অসৎ,dishonest,বিশেষ্য,বিশেষণ,বিশেষণ, বদমাইশ  ,উতারা,বদমায়েশ,বাটপার,বাটফার
আঁচল,Anchal,বিশেষ্য,বিশেষ্য,বিশেষ্য,আঁচল,আঁচল,আচল,আঁচল,আঁচল
আইন,the law,সর্বনাম,বিশেষ্য,বিশেষ্য,আইন  ,আইন,আইন,আইন,আইন
আকাশ,the sky,সর্বনাম,বিশেষ্য,বিশেষ্য,আকাশ,আকাশ,আসসান,আকাশ,আকাশ
আকাশে,in the sky,অব্যয়,অব্যয়,অব্যয়,আকাশে,আখাশর,আস্সানর,আকাশে,আকাশে
আকাশের,of the sky,অব্যয়,সর্বনাম,সর্বনাম,আকাশের,আকাশর,আসসান অর,আকাশের,আকাশের
আক্রমণ,attack,বিশেষ্য,বিশেষ্য,বিশেষ্য,হামলা  ,হামলা,আক্রমণ,হামলা ,আক্রমণ
আগামিকাল,tomorrow,বিশেষ্য,বিশেষ্য,বিশেষ্য,কাইলগো,আগামীকাল,আগামি,কালকে,আগোমি কাইল্লা
আগুন,fire,বিশেষ্য,বিশেষ্য,বিশেষ্য,আগুন,আগুইন,অইন,আগুন,আগুন
আগে,Before,অব্যয়,অব্যয়,অব্যয়,আগের্গ,ফয়লা,আগে,আগে,আগে
আগেই,before,অব্যয়,অব্যয়,অব্যয়,আগেই,আগেই,আগে,আগেই,আগেদি
আচরন,behavior,বিশেষ্য,বিশেষ্য,বিশেষ্য,আচরন,আচরণ,আচরন,আচরন,আচরন
আচরনে,in behavior,অব্যয়,বিশেষ্য,বিশেষ্য,আচরনে,আচরণ,আচরনে,আচরনে,আচরনে
আচ্ছন্ন,Obsessed with,বিশেষণ,বিশেষণ,বিশেষণ,স্বার্থে অন্ধ  ,মাতাল,আচ্ছন্ন,আচ্ছন্ন,আচ্ছন্ন
আছ,you are,সর্বনাম,ক্রিয়া,ক্রিয়া,আছো,আছো,আসোস,আস,আছি
আছি,I am,সর্বনাম,ক্রিয়া,ক্রিয়া,আছি,রইছি,আইস্যি,আসি,রইছি
আছে,there is,ক্রিয়া,ক্রিয়া,ক্রিয়া,আছে,আছইন,আচেনে,আসে,আছে
আছেই,There is,ক্রিয়া,ক্রিয়া,ক্রিয়া,আছেই,আছেউ,আছে,আসেই,আছেই
আছেন,are there,ক্রিয়া,ক্রিয়া,ক্রিয়া,আছেন,আছইন,আছে,আছুইন,আসে
আছো,are you,ক্রিয়া,ক্রিয়া,ক্রিয়া,আসো,আছনি,আচো,আছো,আছেন
আজ,Today,বিশেষ্য,অব্যয়,অব্যয়,আইজ,আজ,আযিয়া,আইজ,আইজ্জা
আজও,even today,বিশেষণ,অব্যয়,অব্যয়,আইজও,এবোধরি,আইযো,আইজও,আইজও
আজকাল,nowadays,বিশেষ্য,অব্যয়,অব্যয়,আইজকাল,আইজকাইল,আইযহাল,আজকাইল,আজকাইল
আজকে,today,বিশেষ্য,অব্যয়,অব্যয়,আইজগো ,আইজ,আযিয়া,আইজ,আইজ্জা
আজকের,Today's,বিশেষ্য,বিশেষণ,বিশেষণ,আইজগোর,আইজকুর,আযিয়ার,আইজকের,আজকের
আজীবন,forever,বিশেষণ,বিশেষণ,বিশেষণ,হারাজীবন,জীবন,জীবন,আজীবন,আজীবন
আজেবাজে,nonsense,বিশেষ্য,বিশেষণ,বিশেষণ,আজেবাজে,আজেবাজে,আজেবাযে,আজেবাজে,আজেবাজে
আড্ডা,Chat,বিশেষ্য,বিশেষ্য,বিশেষ্য,আড্ডা,আড্ডা,আড্ডা,আড্ডা,আড্ডা
আতঙ্ক,Panic too,বিশেষ্য,বিশেষ্য,বিশেষ্য,ভয়ের জিনিস  ,ডর,ভয়,ডড় ,ডর-ভয়
আতঙ্কিত,terrified,বিশেষ্য,বিশেষণ,বিশেষণ,ভয় পাইতাম  ,ডরাইল,ভয়ান,আতঙ্কিত,আতঙ্কিত
আত্মকেন্দ্রিক,self centered,বিশেষ্য,বিশেষণ,বিশেষণ,নিজেরে নিয়া ব্যস্ত  ,আত্মকেন্দ্রিক,আত্মকেন্দ্রিক,নিজেবুঝে,সার্তফর 
আত্মহত্যা,suicide,বিশেষ্য,বিশেষ্য,বিশেষ্য,আত্মহত্যা,আত্মহত্যা,আত্মহত্যা,আত্মহত্যা,আত্মহত্যা
আত্মীয়,relatives,বিশেষ্য,বিশেষ্য, বিশেষ্য,মেহমান,কুটুম,আত্মীয়-স্বজন,আত্মীয়,আত্মীয়
আত্মীয়স্বজন,relatives,বিশেষ্য,বিশেষ্য,বিশেষ্য,আত্নীয়স্বজন  ,কুটুম,আত্মীয়স্বজন,আত্মীয়,আত্মীয়স্বজন
আদর,love,বিশেষ্য,বিশেষ্য,বিশেষ্য,আদর,মায়া,আদর,আদর,আদর
আধুনিক,modern,বিশেষণ,বিশেষণ,বিশেষণ,আধুনিক,আধুনিক,আদুনিক,আধুনিক,আদুনিক
আধুনিকতা,Modernity,বিশেষ্য,বিশেষ্য,বিশেষ্য,নতুন জিনিসে অভ্যস্ততা  ,আধুনিকতা,নয়া ধারা,আধুনিকতা ,আধুনিকতা
আনতে,to bring,ক্রিয়া,ক্রিয়া,ক্রিয়া,আনতে,আনতে,আইনতো,আনতে,আইনতো
আনন্দ,joy,বিশেষ্য,বিশেষ্য,বিশেষ্য,সুখ,কুশি,আনন্দ,আনন্দ,আনন্দ
আনন্দের,of joy,অব্যয়,বিশেষ্য,বিশেষ্য,খুশির,আনন্দর,আনন্দর,আনন্দের,আনন্দের
আনবা,bring,বিশেষ্য,ক্রিয়া,ক্রিয়া,আনবা।,আনমু,আনিবান,আনবা,আইনবা
আনবো,will bring,ক্রিয়া,ক্রিয়া,ক্রিয়া,আনমু,আনতাম,আইন্নুম,আনবাম,আইনগুম
আনলে,If you bring,অব্যয়,ক্রিয়া,ক্রিয়া,আনলে,আনলে,আইনলে,আনলে,আইনলে
আনালেন,brought,বিশেষ্য,ক্রিয়া,ক্রিয়া,আনাইছে,আনাইলা,আইন্নে,আনাইলেন,আনাইলেন
আনে,brings,ক্রিয়া,ক্রিয়া,ক্রিয়া,আনে,আনইন,আনে,আনে,আনে
আপন,own,বিশেষণ,বিশেষণ,বিশেষণ,আফোন,নিজওর,আফন,আপন,আপন
আপনজন,Yours,বিশেষ্য,বিশেষ্য,বিশেষ্য,কাছের মানু,আফনজন,আফনজনন,আপনজন,আপনজন
আপনাকে,to you,বিশেষ্য,সর্বনাম,সর্বনাম,আমনেরে,আফনারে,অনোত্তুন,আপনের,আন্নেরে
আপনাদের,yours,বিশেষ্য,সর্বনাম,সর্বনাম,আমনেগো,আফনারার,অনরার,আফনেরার,আন্নেগর
আপনার,your,সর্বনাম,সর্বনাম,সর্বনাম,আমনের ,আফনার,অনর,আফনের,আমনের
আপনারা,you,সর্বনাম,সর্বনাম,সর্বনাম,আমনেরা,আফনারা,অনরা,আফনেরা,আন্নেরা
আপনারাও,You too,সর্বনাম,সর্বনাম,সর্বনাম,আমনেরাও,আফনারাও,অনেরাও,আফনেরাও,আন্নেরাও
আপনি,you,সর্বনাম,সর্বনাম,সর্বনাম,আমনে,আফনে,অনে,আফনে,আন্নে
আপু,Sister,বিশেষ্য,বিশেষ্য,বিশেষ্য,আফা,আফা,আফা,আপু,আফা
আপুকে,to you,বিশেষ্য,সর্বনাম,সর্বনাম,আফারে,আফারে,আফারে,আপুরে,আপাকে
আপেল,apple,বিশেষ্য,বিশেষ্য,বিশেষ্য,আফেল,আপেল,আফেল,আপেল,আপেল
আফসোস,sorry,বিশেষ্য,বিশেষ্য,বিশেষ্য,আফসোস,আফসোস,আফসোস,আফসোস,আফসোস
আবর্জনা,garbage,বিশেষ্য,বিশেষ্য,বিশেষ্য,আবর্জনা  ,বাদা,আবর্জনা,আবর্জনা,কাঁচড়া
আবহাওয়টা,Weather,বিশেষ্য,বিশেষ্য,বিশেষ্য,আবহাওয়াডা,আবহাওয়াটা,আবহাওয়াওয়ান,আবহাওয়টা,আবহাওয়াই
আবার,again,বিশেষণ,অব্যয়,অব্যয়,আবার,আবার,আবার,আবার,আবার
আবারও,Again he,বিশেষণ,অব্যয়,অব্যয়,ফিররা,আরবার ,আবারও,আবারও,আবারও
আবারো,again,বিশেষণ,অব্যয়,অব্যয়,ফিররা,ফিরাইয়া,আবার,আবারো,আবার
আবেগ,emotion,বিশেষ্য,বিশেষ্য,বিশেষ্য,আবেগ,আবেগ,আবেগ,আবেগ,আবেগ
আবেগে,Emotionally,বিশেষণ,অব্যয়,অব্যয়,আবেগে,আবেগে ,আবেগত,আবেগে,আবেগে 
আবেগের,of emotion,অব্যয়,বিশেষ্য,বিশেষ্য,আবেগের,আবেগর,আবেগের,আবেগের,আবেগের
আব্বু,Dad,বিশেষ্য,বিশেষ্য,বিশেষ্য,আব্বা,আব্বা,আব্বু,আব্বা,আব্বা
আম,mango,বিশেষ্য,বিশেষ্য,বিশেষ্য,আম,আম,আম,আম,আম
আমটি,the mango,সর্বনাম,বিশেষ্য,বিশেষ্য,আমডা,আম,আমইবা,আমডা,আম ইয়া
আমদানিতে,In import,অব্যয়,বিশেষ্য,বিশেষ্য,আমদানিতে,আমদানিতে  ,আমদানিতে,আমদানি,আমদানিতে
আমদের,our,সর্বনাম,সর্বনাম,সর্বনাম,মোগো,আমরার,আরার,আমগোর,আঙ্গো
আমরা,we are,সর্বনাম,সর্বনাম,সর্বনাম,মোরা,আমরা,আঁরা,আমরা,আন্ডা
আমরাই,we are,সর্বনাম,সর্বনাম,সর্বনাম,মোরা,আমরাউ,আঁরাই,আমরাই,আমরাই
আমলের,period,বিশেষ্য,বিশেষণ,বিশেষণ,আমলের,আমলি,আমলের,আমলের,আমলের
আমাকে,me,সর্বনাম,সর্বনাম,সর্বনাম,মোরে ,আমারে,আঁরে,আমারে,আরে 
আমাকেতো,Me too,সর্বনাম,সর্বনাম,সর্বনাম,মোরেতো,আমারেতো,আঁরেতো,আমারেতো,আমাকেতো
আমাদের,Our,সর্বনাম,সর্বনাম,সর্বনাম,মোগো,আমাদের,আঁরার,আমরার,আংগ্গো
আমাদের,our,সর্বনাম,সর্বনাম,সর্বনাম,মোগো ,আমরার,আমাদের ,আঙ্গর,আঙ্গো
আমাদেরকে,to us,সর্বনাম,সর্বনাম,সর্বনাম,মোগো,আমাদেরকে,আঁরারে,আমরারে,আরে
আমায়,to me,সর্বনাম,সর্বনাম,সর্বনাম,মোরে,মোরে,আঁরে,আমারে,আরে
আমার,my,সর্বনাম,সর্বনাম,সর্বনাম ,মর,মর,আর,আমার,আর 
আমারই,Mine,সর্বনাম,সর্বনাম,সর্বনাম,মোর,আমারঅউ,আর,আমারই,আরই
আমায়,to me,সর্বনাম,সর্বনাম,সর্বনাম,মোরে,আমারে,আঁরে,আমারে,আরে
আমি,I,সর্বনাম,সর্বনাম,সর্বনাম,মুই,মুই,আঁই,আমি,আই
আমিও,me too,সর্বনাম,সর্বনাম,সর্বনাম,মুইও,মুইও,আইও,আমিও,আইও
আমিতো,I am,সর্বনাম,সর্বনাম,সর্বনাম,মুই তো,আমিতো,আঁইত,আমিতো,আই
আমৃত্যু,forever,বিশেষণ,অব্যয়,অব্যয়,মরা পর্যন্ত  ,মরাপরজন্ত,মরণ অবধি,যতদিনবাছি,আমরণ 
আম্মা,Amma,বিশেষ্য,বিশেষ্য,বিশেষ্য,আম্মা,মাই,আম্মা,আম্মা,আম্মা
আম্মার,Amma's,বিশেষ্য,বিশেষ্য,বিশেষ্য,আম্মার,আম্মার,আম্মার,আম্মার,আম্মার
আম্মু,Mom,বিশেষ্য,বিশেষ্য,বিশেষ্য,মাএ,মাই,আম্মু,আম্মা,মা
আম্মুই,Mom,বিশেষ্য,বিশেষ্য,বিশেষ্য,মায়,আম্মায়,আম্মু,আম্মাই,মাই
আম্মুকে,to mom,বিশেষ্য,বিশেষ্য,বিশেষ্য,মায়রে,আম্মারে,আম্মুরে,আম্মারে,মারে
