Sylhet_bangla_speech,Noakhali_bangla_speech,Mymensingh_bangla_speech,Chittagong_bangla_speech,Barishal_bangla_speech
আফনার পড়ালেখা করা উচিত,আন্নের হরালেয়া করন দরকার,আপনের পড়ালেহা করা দরকার,অনর ফরালেহা গরা উচিত,আমনের পড়াল্যাহা করা দরকার
আফনার পড়ালেখা খরা লাগবো,আন্নেরে হরালেয়া কইত্তে অইবো,আপনের পড়ালেহা করতে হইব,অনোত্তুন ফরালেহা গরা ফরিবো,আমনের পড়াল্যাহা করতে হইবে
আফনার কিতা পড়ালেখা করতে এখদম ভালা লাগে নানি?,আন্নের কি হরালেয়া কইত্তে একছের ভালা লাগে না,আপনের কি পড়ালেহা করতে এক্কেরেই ভালালাগে নাহ?,অনর কি ফরালেহা গইরতো এব্বেরেও গম ন লাগে,আমনের কি পড়াল্যাহা করতে এক্কালেই ভালো লাগে না?
তর পড়ালেখা করা লাগবো,তোর হরালেয়া কইরতো অইবো,তর পড়ালেহা করতে হইব,তোত্তুন ফরালেহা গরা ফরিবো,তোর পড়াল্যাহা করতে হইবে
তুই কিতা আর পড়ালেখা করতে নানি,তুই কি আর হরালেয়া কইত্তি নও,তুই কি আর পড়ালেহা করতি নাহ?,তুই কি আর ফরালেহা ন গরিবি,তুই কি আর পড়াল্যাহা করবি না?
তুই কিতা পড়ালেখা ছাড়িত্তে নি?,তুই কি হরালেয়া ছাড়দিয়া লাইতো চাস ?,তুই কি পড়ালেহা ছাইরা দিতে চাস?,তুই কি ফরালেহা চারি দিতো চস নিকি,তুই কি পড়াল্যাহা ছাইড়া দেতে চাও?
তর কিতা পড়ালেখা করতে এখদম অউ ভালা লাগে নানি,তোর কি হরালেয়া কইত্তে একছের ভালা লাগে না?,তর কি পড়ালেহা করতে এক্কেরেই ভালালাগে নাহ?,তোর কি ফরালেহা গইরতো এব্বেরেও গম ন লাগে,তোর কি পড়াল্যাহা করতে এক্কালেই ভালো লাগে না?
তুমি কিতা এখন খানিত বইবায় নি?,তুই কি অন খাইতো বইবি?,তুমি কি এহন খাইতে বইবা,তুঁই কি এহন হাইতো বইবা নে,তুমি কি এহন খাইতে ববা?
আইজকু আমার খাইতে ভালা লাগের না,আইজগা আর খাইতে ভালা লগের না,আইজকা আমার খাইতে ভালা লাগতাসেনা,আযিয়া আঁর হাইতো মনো ন হর,আইজগো মোর খাইতে ভালো লাগতেয়াছে না
ইস্কুলো আমার বাক্কা বন্ধু আছে,আর স্কুলে মেলা বনদু আছে,আমার ইস্কুলে অনেক বন্ধু আসে,আঁর বিদ্যালয়ে বউত বন্দু আচে,মোর ইসকুলে ম্যালা দোস্তো আছে
আমার ছুটো বইন ইস্কুলো যাইতে চায় না,আর ছোড বইন স্কুলে যাইতো চায় না,আমার ছোট বইন ইস্কুলে যাইতে চায় না,আঁর চোড বইন বিদ্যালয়অত যাইত ন চাই,মোর ছোডো বুইন ইসকুলে যাইতে চায় না
আমার ইস্কু্ল যাইতে অনেক ভালা লাগে,আর স্কুলো যাইতো মেলা ভালা লাগে,আমার ইস্কুলে যাইতে অনেক ভালা লাগে,আত্তুন বিদ্যালয়অত যাইত বউত বালা লাগে,মোর ইসকুলে যাইতে বেমালা ভালো লাগে
হে তার গাউর এখটা ইস্কুলো পড়ে,হেতে  হেতেগো গ্রামে এককান স্কুলে হড়ালেয়া করে,হেয় তার গেরামের একটা ইস্কুলে পড়ালেহা করে,ইবা তার গেরামর এক্কান বিদ্যালয় অত ফরালেহা গরে,হ্যায় হ্যার গেরামের এউক্কা ইসকুলে পড়াল্যাহা করে
হে ইস্কুলো যাইতো চায় না,হেতে স্কুলো যাইতো চায় না,হেয় ইস্কুলে যাইতে চায় না,ইবা বিদ্যালয়অত যাইত ন চায়,হ্যায় ইসকুলে যাইতে চায় না
তার ইস্কুলো গিয়া পড়ালেখা খরতো ভালা লাগে না,হেতের স্কুলে যাই হড়ালেয়া কইরতো ভালা লাগে না,হের ইস্কুলে যায়া পড়ালেহা করতে ভালা লাগে না,ইতাত্তুন বিদ্যালয় অত যাই ফরালেহা গইরতো গম ন লাগে,হ্যার ইসকুলে যাইয়া পড়াল্যাহা করতে ভালো লাগে না
হে ইস্কুলো গিয়া বন্ধুরার লগে গফ করে,হেতে স্কুলো যাই বনদুগোর লগে গল্ফ করে,হেয় ইস্কুলে যায়া বন্ধুরার সাথে গল্প করে,ইতে বিদ্যালয় অত যাই বন্দু অক্কলর ফোয়ারে গল্ফ গরে,হ্যায় ইসকুলে যাইয়া দোস্তোগো লগে কেচ্ছা করে
হে ইস্কুলর মাঠো ফত্তেকদিন ক্রিকেট খেলায়,হেতে স্কুলের মাডো হইত্তোদিন ক্রিকেট খেলে,হেয় ইস্কুলের মাঠে প্রত্যেকদিন ক্রিকেট খেলে,ইতে বিদ্যালয় অর মাডঅত ফত্তিন ক্রিকেট কেলে,হ্যায় ইস্কুলের মাডে পেরতেকদিন ক্রিকেট খেলে
হে ইস্কুলর মাাঠো মাথা গুরাইয়া পরি গেছিল,হেতি স্কুলের মাডো মাতা ঘুরি হড়ি গেছেগই,হেয় ইস্কুলের মাঠে মাথা ঘুরায়া পইড়া গেসিল,ইবা বিদ্যালয় অর মাডঅত মায়া গুরি ফরি গেইয়্যুই,হ্যায় ইশকুলের মাডে মাথা ঘুরাইয়া পইড়া গ্যাল্লেহ
হে বাক্কা আগে তার ইস্কুলর একটা ফুড়িরে ভালা পাইতো,হেতে মেলা দিন আগে স্কুলের অগগা বইতালিরে ভালোবাইসতো,হেয় অনেকদিন আগে হের ইস্কুলের একটা ছেড়িরে ভালবাসতো,ইতে বউত দিন আগে তার বিদ্যালয় অর ওজ্ঞা মাইফোয়ারে বালবাসিতো,হ্যায় ম্যালা দিন আগে হ্যার ইশকুলের এউক্কা মাইয়ারে ভালোবাসতো
ফুয়াাটায় তার গাউর ছুটো এখটা ইস্কুল থাকি পড়িয়া এসএসসি পাশ খরছে,হোলাগা হেতাগো গ্রামের ছোট্ট এককান স্কুলতুন হড়ালেয়া করি  এসএসসি হাস কইচ্ছে,ছেড়াটা হের গ্রামের ছোট একটা ইস্কুল থাইক্কা পড়ালেহা কইরা এসএসসি পাশ করসে,ফোয়াইবা তার গেরামর গুরা এক্কান বিদ্যালয় অত্তুন ফরালেহা গরি এসএসসি ফাশ গইরগে,পোলাডা হ্যার গেরামের ছোডো এউক্কা ইসকুল হইতে পড়াল্যাহা কইররা মেটটিক পাশ করছে
তুমার বাসা খই?,তোংগো বাসা কোনাই,তোমরার বাসা কই?,তোঁয়ারার বাসা হডে,তোমাগো বাড়ি কোম্মে?
ঢাকা বাংলাদেশর রাজধানী,ঢাকা বাংলাদেশ এর রাইজধানী,ঢাকা বাংলাদেশের রাজধানী।,ডাহা বাংলাদেশঅর রাযদানি,ঢাহা বাংলাদেশের রাজধানী
তুমি কিতা আমার লগে পিরিত করবায় নি?,তুই কি আর লগে হেম কইরবা,তুমি কিতা আমার সাথে প্রেম করবা?,তুঁই কি আঁর ফোয়ারে ফেম গরিবা নে,তুমি কি মোর লগে পেরেম করবা?
মুই আইজ বিয়ানে ফুটবল খেলাইছি,আই আইজগা সকালে ফুলবল খেইলছি,আমি আজকে সকালে ফুটবল খেলছি,আঁই আযিয়া বেইন্না ফুটবল কেলা হাইয়্যি,মুই আইজগো বেইননা কালে ফুটবল খেলছি
মুই তুমার মনর খতা বুজি না,আই তোওর মনে কতা বুজি,আমি তোমার মনের কথা বুঝি না।,আঁই তোয়াঁর মন অর হতা বুজি,মুই তোমার মনের কথা বোঝতে পারি না
তুমার লাগি আমার খুব খষ্ট অয়,তোওর লাই আর মেলা কষ্ট লাগে,তোমার লাইজ্ঞা আমার মেলা কষ্ট হয়,তোঁয়ার লাই আঁর কুব হস্ট অই,তোমার লইজ্ঞা মোর বেমালা কষ্ট হয়
আমরার সফনো বহুত বড়,আংগোর স্বপ্ফন মেলা বড্ডা,আমরার স্বপ্ন মেলা বড়,আঁরার সফ্ন বউত ডঅর,মোগো হপোন ম্যালা বড়
অল্প বয়সর এখটা ফুয়া বারে ফুটপাতো দৌড়ার,কম বয়সি অগগা হোলা বাআরা রাস্তার অচে ফুটপাতে দৌড়ার,কম বয়স্ক একটা ছেড়া বাইরে ফুটপাতে দৌড়াইতাসে,আল্ফবয়স্যা ফোয়া অজ্ঞা বাইরে ফুটফাতত দুরের,‍কমবয়সী এউক্কা পোলা বায়রায় ফুডপাতে দৌড়াইতেয়াছে
এখটা ছুটো মনা বিছনাত লাফাইয়া উটের,লেদা বাইচ্চা বিছনাত লাফাই উডের,একটা ছুটো আবু বিছানাত লাফাইয়া উঠছে,ওজ্ঞা গুরা ফোয়া বিচানাতা ফালমারি উডের,এউক্কা ল্যাদা গেদু বিছনায় লাফাইয়া ওঠছে
এখটা ফুয়া বিছনাত ফালার,এগগা হোলা বিছনাত লাফাআর,একটা ছেড়া বিছানাত লাফাইতাসে,ওজ্ঞা ফোয়া বিচানাত ফালার,এউক্কা পোলা বিছনায় লাফাইতেয়াছে
এখটা ফুুয়া এক বিছনা থাকি আরোখ বিছনাত ফাল দের,অগগা হোলা এক বিছনাত তুন আরোক বিছানাত লাফ দেএর,একটা ছেড়া এক বিছানাততন আরেকটা বিছানাত লাফ দিতাসে,ওজ্ঞা ফোয়া এক বিচানাত্তুন আরেক বিচানাত ফাল মারে,এউক্কা পোলা এউক্কা বিছনা গোনে আর এউক্কা বিছানায় লাপ দেতেয়াছে
এখটা হুরু মনা ফুটপাতো আটের,লেদা বাইচ্চা ফুটপাতে আডেএর,একটা ছুটো আবু ফুটপাতে হাটতাসে,ওজ্ঞা গুরা ফোয়া ফুটফাতোত আডের,এউক্কা ছোডো গেদু ফুডপাতে হাটতেয়াছে
মুই এখটা ফুয়া,আই অগগা হোলা,আমি একটা ছেড়া,আঁই ওজ্ঞা ফোয়া,মুই এউক্কা পোলা
মুই এখটা ফুড়ি,আই অগগা বইতালি,আমি একটা ছেড়ি,আঁই ওজ্ঞা মাইফোয়া,মুই এউক্কা মাইয়া
আমার জামাই আমারে খুব ভালা পায়,আর জামাই আরে অনেক ভালোবাসে,আমার জামাই আমারে মেলা ভালবাসে,আঁর জামাই আঁরে কুব বালবাসে,মোর জামাই মোরে বেমালা ভালোবাসে
ইস্কুল জীবন থাকি তারার পিরিত আছিল,স্কুল জীবনতুন হেতাগো পেম আছিলো,ইস্কুল জীবনতে তারার প্রেম আসিল,স্কুল যিবন অইতে তারার ফ্রেম আচিল,ইসকুল সময় হইতে হ্যাগো পেরেম আল্লেহ
আমার বিয়ার দশ বছর অর,আই বিয়া কইচ্ছি দশ বছর অর,আমি বিয়া করসি দশ বছর হইসে,আঁই বিয়া গইরগি দশ বচর অর,মুই বিয়া করছি ১০ বছর হইছে
বহুত ভালা ছবি,অসম্ভব ভালা ছবি,অসম্ভব ভালা ছবি,এব্বারে গম চবি ,বেমালা ভালো ছবি
বাক্কাদিন বাদে এখটা ভালা ছবি দেখলাম,মেলা দিন হরে এককান ভালা ছবি দেইকছি,মেলাদিন পরে একটা ভালা ছবি দেখলাম,,ম্যালাদিন পরে এউক্কা ভালো ছবি দেখলাম
বহুুত ভালা লেখছইন,অসম্ভব ভালা লেইকছে,অসম্ভব ভালা লিখসেন,বউদ্দিন ফর এক্কান বালা চবি দেইলাম,বেমালা ভালো ল্যাখছেন
বাক্কাদিন বাদে এখটা ভালা লেখা পড়লাম,বহুতদিন হরে এককান ভালো লেয়া হইড়লাম,মেলাদিন বাদে একটা ভালা লেহা পড়লাম,বেশি গম লিকখো,ম্যালাদিন পরে এউক্কা ভালো ল্যাহা পড়লাম
যে মাথাত বেদনা ধরছিল,প্রচন্ড মাথাব্যথা কইত্তাছিলো,বহুত মাথা ব্যথা করতাসিলো,বউদ্দিন বাদে এক্কান বালা লেহা ফইরলাম,বেমালা মাথা ব্যাথা করতেয়াছেলে
কুনতা বুঝতাম ফারলাম না,কিছুই বুইঝদাম হারিনো,কিনুতাই বুঝতে পারলাম না,মাতা হঁরাইলদি এএন ন,কিছুই বোঝতে পারলাম না
তাইন অখটা দেখিয়া গিয়ান আরাই লাইছইন,হেতন এটা দেই অজ্ঞান হই গেছে,হেয় এইডা দেইক্ষা জ্ঞান হারায়া ফালাইসে,কিচুই ন বুযিলাম,হ্যায় এইডা দেইখ্যা গেয়ান হারাইয়া ফালাইছে
এক খতায় আফনারে বাক্কা সুন্দর লাগের,এককতাত আন্নেরে অনেক সুন্দর লাগের,এক কথায় মেলা সুন্দর লাগতাসে আফনেরে,ইবা ইয়ান দেহি বিয়ুশ অই গেইয়্যুয়,এক কথায় ম্যালা সুন্দর লাগতেয়াছে আমনেরে
আফনার ছবি থাকি আফনে বাস্তবে অনেখ বেশি সুন্দর,আন্নের ছবির তুন বাস্তবে আন্নে বেশি সুন্দর,আফনের ছবিরতন আফনে বাস্তবে বেশি সুন্দর,এক হতায় বউত সুন্দর লাগের অনেরে,আমনের ছবির চাইতে আমনে বাস্তবে বেমালা সুন্দর
আফনার হাসির কাছে সব কিছু হার মানি যায়,আন্নের হাসির কাছে বেক কিছু হার মানি যায়,আফনের হাসির কাসে বেক কিসু হার মানে,অনর চবিরতুন বেরা অনে বাস্তবে বেশি সুন্দর,আমনের হাসির সামনে বেবাক কিছু হার মাইন্না যায়
আফনার চউক অনেখ সুন্দর,আন্নের চোকগুন অনেক সোন্দর,আফনের চোখ মেলা সুন্দর,অনর আশির হাচে বেজ্ঞিন আর মানি যাইগই,আমনের চউখ বেমালা সুন্দর
আফনার লগেে পরিচিত অইয়া ভালা লাগলো,আন্নের লগে পরিচয় অই ভালা লাইগছে,আফনের লগে পরিচিত হয়া ভালা লাগলো,অনর চোক বউত সুন্দর,আমনের লগে পরিচিত হইয়া ভালো লাগছে
বাক্কা সময় পর আফনারে দেখলাম,মেলাদিন হরে আন্নেরে দেইকলাম,মেলা সময় বাদে আফনেরে দেখতাসি,অনর লাই ফরিচয় অই বউত বালা লাইজ্ঞে,ম্যালাদিন পর আমনেরে দেখলাম
দুই ভাইর মাঝে জাগা জমিন লইয়া মাইর অয়,দুই ভাইর ভিত্তে জাগা-জমি লই কাইজ্জা অয়,দুই ভাইয়ের মধ্যে জায়গা জমি লয়া ঝগড়া হয়,বউত দিন ফর অন অরে দেহির,দুই ভাইগো মইধ্যে জাগা জমি লইয়া কাইজ্জা হয়
বাদে এক ভাই কুয়েত গেছেগি আর আরোখ ভাই সুদান গেছে গি,হরে এক ভাই কুয়েত চলি গেছে আরেক ভাই সুদান চলি গেছে,বাদে এক ভাই কুয়েত যায়গা আরেক ভাই সুদান যায়গা,দু বাই অর মাযে জাগা জমি লই হইয্যা অই,পরে এউক্কা ভাই কুয়েত চইল্যা যায় আর এউক্কা ভাই সুদান চইল্যা যায়
কয়দিন পর সুদান থাকি আওয়া বেটায় বিয়া করইন,কিছুদিন হরে সুদান হেরত বেডাগা বিয়া কইচ্ছে,কয়েকদিন বাদে সুদান ফিরত বেডাটা বিয়া করে,ফরে এক বাই কয়েত গেইয়্যুই আরেক বাই সুদান গেইয়্যুই,কয়দিন পরে সুদান দিয়া আসা ব্যাডা বিয়া করেন
"মোবাইল ছাড়া বাথরুমে গেলেগি, মনে অয় দরখারি ফাইল ছাড়া অফিসো বই রইছি",ফোন হালাই লেপটিনে গেলে মনে অয় লাজেন জরুরী ফাইল হালাই অফিসে বসি রইছি,"মুবাইল ছাড়া লেট্রিনে গেলে, লাগে যে জরুরি ফাইল ছাড়া অফিসে বয়া আসি",হদ্দিন বাদে সুদান অত্তুন আইস্যেদে মানুষ ইবা বিয়া গইরগে,"মোবাইল থুইয়া বাথরুমে গ্যালে, মনে হয় জরুলি কাগজ থুইয়া অপিসে বইইয়া আছি"
যারার গালি দেওয়া অই গেছে তারা দয়া করি লাইন থাকি হরি যাইন,যতাগো গালি দেয়ন ওই গেছে হেতারা দয়াকরি লাইনতুন সড়িদাড়ান,যারার গালি দেওয়ন হয়া গেসে তারা দয়া কইরা লাইনেরতন সইরা যান,মুবাইল চারা বাতরুম অত যাইলে মনো অই যরুরি ফাইল চারা আফিস অত আইস্যি,যাগো খামার দেওয়া হইছে হ্যারা দয়া কইরা লাইন দিয়া সৈররা যান
পিছেদি এখনো বাক্কা মানুষ লাইনো উবানিত,হিছনে অনো মেলা  মানুষ লাইনে খাড়াই রইছে,পিছনে এহনো অনেক মানুষ লাইনে খারায়া আসে,যারারে গাইল দেয়া অই গেইয়্যুয় তারা দয়া গরি লাইন অত্তুন সরি যন,পাছে এহনও বেমালা মানু লাইনে খারাইয়া আছে
তারারে গালি দেওয়ার সুযোগ খরি দেইন,হেতাগোরে  গালি দেওনের লাই সুযোগ করি দেন,হেরারে গালি দেওনের সুযোগ কইরা দেন,ফিচনে আইযো বিউত মানুষ লাইন অত তিয়ায় তাইক্কে,হ্যাগো খামার দেওয়ার সুযোগ কইরা দ্যান
বেশি কুনতা খইতাম নায় কারণ আবেগে চকুত পানি আইচ্চে,বেশি কিছু কইত্তান না কারন আবেগছ চোখের হানি চলি আইছে,খুব বেশি কিসু কইতাম না কারন আবেগে চোখে পানি চইলা আইসে,তারারে গালি দিবর সুযোগ গরি দন,বেমালা কিছু কমু না কারণ আবেগে চোখে পানি চইল্যা আইছে
তুমি কইরায় যে থাকার হে এমনেউ থাকি যাইবো,তুউই কইছো যেতে থাইকবার হেতে এননেই থাকি যাইবো,তুমি কইসো যেয় থাকার হেয় এমনেই থাকব,বর বেশি কিচু ন হইয়্যুম হারন আবেগে চোক অত ফানি আ গেইয়্যুয়,তুমি কইছো যে থাহার হ্যায় এমনিতেই থাকবে
পয়লা আফনারে এখটা দুকানো যাওয়া লাগবো,আগেদি আন্নেরে এককান দোয়ানে যাইতে অইবো,প্রথমে আফনারে একটা দোকানে যাইতে হইব,তুঁই হদ্দে নে যে তাইবার ইতে এনেই তাকিবো,পোরথমে আমনেরে এউক্কা দোকানে যাইতে হইবে
নিজর পছন্দর বিয়াত বাফ মারে রাজি করানি অইলো,নিজের হছন্দের বিয়াত বাফ মারে রাজি করানি অইছে,নিজের পছন্দের বিয়াতে বাপ মা রে রাজি করান হইল,ফাস্টে অনত্তুন এক্কান দোয়ান অত যা ফরিবো,নিজের পছন্দের বিয়ায় বাপ মায়রে রাজি করাইন্না হইছে
ফুড়িটায় লাল শাড়ি পিন্দিয়া উবানিত,মাইয়াগা লাল শাড়ি হরি খাড়াই রইছে,ছেড়িডা লাল শাড়ী পইরা খারায়া আসে,নিযর ফচন্দর বিয়াত বাপ মারে রায গরানো অয়্যে,মাইয়ডা লাল শাড়ি পইররা খারাইয়া আছে
